t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
9.024e-11,6357.13,22921.7,0.766714,0.00026168,0.227519,0.00545314,5.29197e-05
9.025e-11,6374.52,22877.8,0.766714,0.000261715,0.227518,0.00545401,5.29582e-05
9.026e-11,6392.48,22832.5,0.766714,0.00026175,0.227517,0.00545489,5.29957e-05
9.027e-11,6411.03,22785.8,0.766713,0.000261786,0.227516,0.00545577,5.30324e-05
9.028e-11,6430.15,22737.5,0.766713,0.000261822,0.227515,0.00545665,5.30682e-05
9.029e-11,6449.85,22687.9,0.766713,0.000261859,0.227514,0.00545753,5.31031e-05
9.03e-11,6470.13,22636.7,0.766713,0.000261896,0.227513,0.00545841,5.31372e-05
9.031e-11,6490.98,22584.1,0.766713,0.000261935,0.227512,0.0054593,5.31704e-05
9.032e-11,6512.41,22530.1,0.766713,0.000261974,0.227511,0.00546018,5.32028e-05
9.033e-11,6534.41,22474.6,0.766713,0.000262013,0.227511,0.00546107,5.32344e-05
9.034e-11,6556.99,22417.7,0.766713,0.000262053,0.22751,0.00546197,5.32651e-05
9.035e-11,6580.14,22359.3,0.766713,0.000262094,0.227509,0.00546286,5.3295e-05
9.036e-11,6603.86,22299.5,0.766713,0.000262136,0.227508,0.00546376,5.33242e-05
9.037e-11,6628.15,22238.2,0.766713,0.000262178,0.227507,0.00546465,5.33525e-05
9.038e-11,6653.02,22175.6,0.766713,0.00026222,0.227506,0.00546555,5.33802e-05
9.039e-11,6678.45,22111.4,0.766713,0.000262263,0.227505,0.00546646,5.3407e-05
9.04e-11,6704.45,22045.9,0.766713,0.000262307,0.227504,0.00546736,5.34332e-05
9.041e-11,6731.01,21978.9,0.766713,0.000262352,0.227503,0.00546827,5.34586e-05
9.042e-11,6758.14,21910.5,0.766713,0.000262396,0.227502,0.00546918,5.34834e-05
9.043e-11,6785.84,21840.6,0.766713,0.000262442,0.227501,0.00547009,5.35074e-05
9.044e-11,6814.09,21769.4,0.766713,0.000262488,0.2275,0.005471,5.35308e-05
9.045e-11,6842.91,21696.7,0.766712,0.000262534,0.2275,0.00547191,5.35536e-05
9.046e-11,6872.29,21622.6,0.766712,0.000262581,0.227499,0.00547283,5.35758e-05
9.047e-11,6902.22,21547.2,0.766712,0.000262629,0.227498,0.00547375,5.35974e-05
9.048e-11,6932.71,21470.3,0.766712,0.000262677,0.227497,0.00547467,5.36183e-05
9.049e-11,6963.76,21392,0.766712,0.000262725,0.227496,0.00547559,5.36388e-05
9.05e-11,6995.36,21312.3,0.766712,0.000262774,0.227495,0.00547651,5.36586e-05
9.051e-11,7027.51,21231.2,0.766712,0.000262823,0.227494,0.00547743,5.3678e-05
9.052e-11,7060.21,21148.8,0.766712,0.000262873,0.227493,0.00547836,5.36968e-05
9.053e-11,7093.46,21064.9,0.766712,0.000262923,0.227492,0.00547929,5.37152e-05
9.054e-11,7127.25,20979.7,0.766712,0.000262974,0.227491,0.00548022,5.37331e-05
9.055e-11,7161.59,20893.1,0.766712,0.000263025,0.22749,0.00548115,5.37505e-05
9.056e-11,7196.47,20805.1,0.766712,0.000263076,0.227489,0.00548208,5.37675e-05
9.057e-11,7231.88,20715.8,0.766712,0.000263128,0.227488,0.00548301,5.3784e-05
9.058e-11,7267.84,20625.2,0.766712,0.00026318,0.227487,0.00548395,5.38002e-05
9.059e-11,7304.33,20533.1,0.766712,0.000263232,0.227486,0.00548488,5.38159e-05
9.06e-11,7341.35,20439.8,0.766712,0.000263284,0.227485,0.00548582,5.38313e-05
9.061e-11,7378.9,20345.1,0.766712,0.000263337,0.227485,0.00548676,5.38463e-05
9.062e-11,7416.97,20249,0.766711,0.00026339,0.227484,0.0054877,5.3861e-05
9.063e-11,7455.57,20151.7,0.766711,0.000263444,0.227483,0.00548864,5.38753e-05
9.064e-11,7494.7,20053,0.766711,0.000263497,0.227482,0.00548958,5.38893e-05
9.065e-11,7534.34,19953,0.766711,0.000263551,0.227481,0.00549052,5.3903e-05
9.066e-11,7574.49,19851.8,0.766711,0.000263605,0.22748,0.00549146,5.39164e-05
9.067e-11,7615.16,19749.2,0.766711,0.000263659,0.227479,0.0054924,5.39295e-05
9.068e-11,7656.33,19645.3,0.766711,0.000263714,0.227478,0.00549335,5.39424e-05
9.069e-11,7698.01,19540.2,0.766711,0.000263768,0.227477,0.00549429,5.3955e-05
9.07e-11,7740.19,19433.8,0.766711,0.000263823,0.227476,0.00549523,5.39673e-05
9.071e-11,7782.87,19326.1,0.766711,0.000263877,0.227475,0.00549618,5.39794e-05
9.072e-11,7826.05,19217.2,0.766711,0.000263932,0.227474,0.00549712,5.39912e-05
9.073e-11,7869.72,19107.1,0.766711,0.000263987,0.227473,0.00549806,5.40029e-05
9.074e-11,7913.87,18995.7,0.766711,0.000264042,0.227472,0.00549901,5.40143e-05
9.075e-11,7958.5,18883.1,0.766711,0.000264097,0.227471,0.00549995,5.40256e-05
9.076e-11,8003.62,18769.3,0.766711,0.000264152,0.22747,0.00550089,5.40366e-05
9.077e-11,8049.21,18654.2,0.766711,0.000264207,0.227469,0.00550183,5.40474e-05
9.078e-11,8095.26,18538,0.766711,0.000264262,0.227468,0.00550277,5.40581e-05
9.079e-11,8141.79,18420.7,0.76671,0.000264317,0.227467,0.00550371,5.40686e-05
9.08e-11,8188.77,18302.1,0.76671,0.000264372,0.227467,0.00550465,5.40789e-05
9.081e-11,8236.21,18182.4,0.76671,0.000264427,0.227466,0.00550559,5.40891e-05
9.082e-11,8284.1,18061.6,0.76671,0.000264481,0.227465,0.00550653,5.40991e-05
9.083e-11,8332.44,17939.6,0.76671,0.000264536,0.227464,0.00550746,5.4109e-05
9.084e-11,8381.22,17816.5,0.76671,0.00026459,0.227463,0.0055084,5.41187e-05
9.085e-11,8430.43,17692.3,0.76671,0.000264644,0.227462,0.00550933,5.41283e-05
9.086e-11,8480.08,17567,0.76671,0.000264698,0.227461,0.00551026,5.41378e-05
9.087e-11,8530.14,17440.7,0.76671,0.000264752,0.22746,0.00551119,5.41472e-05
9.088e-11,8580.63,17313.3,0.76671,0.000264806,0.227459,0.00551211,5.41564e-05
9.089e-11,8631.53,17184.8,0.76671,0.000264859,0.227458,0.00551304,5.41655e-05
9.09e-11,8682.83,17055.3,0.76671,0.000264912,0.227457,0.00551396,5.41745e-05
9.091e-11,8734.54,16924.8,0.76671,0.000264965,0.227456,0.00551488,5.41834e-05
9.092e-11,8786.64,16793.3,0.76671,0.000265017,0.227455,0.00551579,5.41921e-05
9.093e-11,8839.13,16660.8,0.76671,0.000265069,0.227454,0.00551671,5.42008e-05
9.094e-11,8892,16527.3,0.76671,0.000265121,0.227453,0.00551762,5.42094e-05
9.095e-11,8945.24,16392.9,0.76671,0.000265172,0.227453,0.00551852,5.42179e-05
9.096e-11,8998.85,16257.6,0.766709,0.000265223,0.227452,0.00551943,5.42263e-05
9.097e-11,9052.82,16121.3,0.766709,0.000265273,0.227451,0.00552033,5.42346e-05
9.098e-11,9107.14,15984.1,0.766709,0.000265323,0.22745,0.00552122,5.42428e-05
9.099e-11,9161.8,15846.1,0.766709,0.000265373,0.227449,0.00552211,5.42509e-05
9.1e-11,9216.81,15707.2,0.766709,0.000265422,0.227448,0.005523,5.42589e-05
9.101e-11,9272.14,15567.4,0.766709,0.00026547,0.227447,0.00552388,5.42669e-05
9.102e-11,9327.8,15426.9,0.766709,0.000265518,0.227446,0.00552476,5.42748e-05
9.103e-11,9383.76,15285.5,0.766709,0.000265566,0.227445,0.00552563,5.42826e-05
9.104e-11,9440.04,15143.4,0.766709,0.000265613,0.227445,0.0055265,5.42903e-05
9.105e-11,9496.61,15000.5,0.766709,0.000265659,0.227444,0.00552736,5.42979e-05
9.106e-11,9553.47,14856.8,0.766709,0.000265704,0.227443,0.00552822,5.43055e-05
9.107e-11,9610.61,14712.5,0.766709,0.000265749,0.227442,0.00552907,5.4313e-05
9.108e-11,9668.01,14567.4,0.766709,0.000265794,0.227441,0.00552992,5.43204e-05
9.109e-11,9725.68,14421.7,0.766709,0.000265837,0.22744,0.00553076,5.43278e-05
9.11e-11,9783.6,14275.4,0.766709,0.00026588,0.227439,0.00553159,5.43351e-05
9.111e-11,9841.77,14128.4,0.766709,0.000265922,0.227439,0.00553242,5.43423e-05
9.112e-11,9900.16,13980.8,0.766709,0.000265964,0.227438,0.00553324,5.43495e-05
9.113e-11,9958.78,13832.6,0.766709,0.000266005,0.227437,0.00553405,5.43565e-05
9.114e-11,10017.6,13683.9,0.766709,0.000266045,0.227436,0.00553485,5.43635e-05
9.115e-11,10076.6,13534.6,0.766709,0.000266084,0.227435,0.00553565,5.43705e-05
9.116e-11,10135.9,13384.9,0.766708,0.000266123,0.227435,0.00553644,5.43774e-05
9.117e-11,10195.3,13234.7,0.766708,0.00026616,0.227434,0.00553723,5.43842e-05
9.118e-11,10254.9,13084,0.766708,0.000266197,0.227433,0.005538,5.43909e-05
9.119e-11,10314.6,12932.9,0.766708,0.000266233,0.227432,0.00553877,5.43976e-05
9.12e-11,10374.5,12781.4,0.766708,0.000266268,0.227431,0.00553953,5.44042e-05
9.121e-11,10434.5,12629.5,0.766708,0.000266303,0.227431,0.00554028,5.44107e-05
9.122e-11,10494.7,12477.4,0.766708,0.000266336,0.22743,0.00554102,5.44172e-05
9.123e-11,10554.9,12324.8,0.766708,0.000266369,0.227429,0.00554175,5.44236e-05
9.124e-11,10615.3,12172.1,0.766708,0.000266401,0.227428,0.00554248,5.443e-05
9.125e-11,10675.8,12019,0.766708,0.000266432,0.227428,0.00554319,5.44362e-05
9.126e-11,10736.3,11865.8,0.766708,0.000266462,0.227427,0.0055439,5.44424e-05
9.127e-11,10796.9,11712.3,0.766708,0.000266491,0.227426,0.00554459,5.44486e-05
9.128e-11,10857.6,11558.7,0.766708,0.000266519,0.227426,0.00554528,5.44546e-05
9.129e-11,10918.3,11404.9,0.766708,0.000266547,0.227425,0.00554595,5.44606e-05
9.13e-11,10979,11251.1,0.766708,0.000266574,0.227424,0.00554661,5.44665e-05
9.131e-11,11039.8,11097.2,0.766708,0.000266599,0.227424,0.00554727,5.44724e-05
9.132e-11,11100.5,10943.2,0.766708,0.000266624,0.227423,0.00554791,5.44782e-05
9.133e-11,11161.3,10789.2,0.766708,0.000266648,0.227422,0.00554854,5.44839e-05
9.134e-11,11222,10635.3,0.766708,0.000266671,0.227422,0.00554917,5.44895e-05
9.135e-11,11282.7,10481.4,0.766708,0.000266694,0.227421,0.00554978,5.44951e-05
9.136e-11,11343.3,10327.6,0.766708,0.000266715,0.227421,0.00555037,5.45006e-05
9.137e-11,11403.9,10173.9,0.766708,0.000266736,0.22742,0.00555096,5.4506e-05
9.138e-11,11464.4,10020.4,0.766708,0.000266755,0.227419,0.00555154,5.45114e-05
9.139e-11,11524.8,9867.1,0.766708,0.000266774,0.227419,0.0055521,5.45166e-05
9.14e-11,11585.1,9714.01,0.766708,0.000266792,0.227418,0.00555265,5.45218e-05
9.141e-11,11645.3,9561.17,0.766708,0.00026681,0.227418,0.00555319,5.45269e-05
9.142e-11,11705.3,9408.63,0.766708,0.000266826,0.227417,0.00555372,5.4532e-05
9.143e-11,11765.2,9256.42,0.766708,0.000266842,0.227417,0.00555423,5.45369e-05
9.144e-11,11824.9,9104.57,0.766708,0.000266857,0.227416,0.00555474,5.45418e-05
9.145e-11,11884.5,8953.12,0.766708,0.000266872,0.227416,0.00555523,5.45466e-05
9.146e-11,11943.9,8802.11,0.766708,0.000266885,0.227415,0.00555571,5.45513e-05
9.147e-11,12003,8651.56,0.766708,0.000266898,0.227415,0.00555617,5.4556e-05
9.148e-11,12062,8501.52,0.766708,0.00026691,0.227414,0.00555662,5.45605e-05
9.149e-11,12120.7,8352.01,0.766708,0.000266922,0.227414,0.00555706,5.4565e-05
9.15e-11,12179.1,8203.09,0.766708,0.000266933,0.227413,0.00555749,5.45694e-05
9.151e-11,12237.3,8054.78,0.766708,0.000266943,0.227413,0.00555791,5.45737e-05
9.152e-11,12295.2,7907.11,0.766708,0.000266953,0.227413,0.00555831,5.45779e-05
9.153e-11,12352.8,7760.13,0.766708,0.000266962,0.227412,0.0055587,5.4582e-05
9.154e-11,12410.1,7613.86,0.766708,0.00026697,0.227412,0.00555908,5.4586e-05
9.155e-11,12467.1,7468.35,0.766708,0.000266978,0.227411,0.00555944,5.459e-05
9.156e-11,12523.7,7323.64,0.766708,0.000266986,0.227411,0.00555979,5.45939e-05
9.157e-11,12580,7179.75,0.766708,0.000266993,0.227411,0.00556013,5.45976e-05
9.158e-11,12635.9,7036.72,0.766708,0.000266999,0.22741,0.00556046,5.46013e-05
9.159e-11,12691.4,6894.59,0.766708,0.000267005,0.22741,0.00556077,5.46049e-05
9.16e-11,12746.5,6753.39,0.766707,0.000267011,0.22741,0.00556107,5.46084e-05
9.161e-11,12801.2,6613.17,0.766707,0.000267016,0.22741,0.00556136,5.46118e-05
9.162e-11,12855.4,6473.95,0.766707,0.000267021,0.227409,0.00556164,5.46152e-05
9.163e-11,12909.2,6335.77,0.766707,0.000267026,0.227409,0.0055619,5.46184e-05
9.164e-11,12962.5,6198.66,0.766707,0.00026703,0.227409,0.00556216,5.46215e-05
9.165e-11,13015.4,6062.66,0.766707,0.000267034,0.227408,0.0055624,5.46246e-05
9.166e-11,13067.7,5927.8,0.766707,0.000267037,0.227408,0.00556263,5.46275e-05
9.167e-11,13119.6,5794.12,0.766707,0.000267041,0.227408,0.00556285,5.46304e-05
9.168e-11,13170.9,5661.66,0.766707,0.000267044,0.227408,0.00556306,5.46332e-05
9.169e-11,13221.6,5530.43,0.766707,0.000267046,0.227408,0.00556325,5.46359e-05
9.17e-11,13271.8,5400.48,0.766707,0.000267049,0.227407,0.00556344,5.46385e-05
9.171e-11,13321.5,5271.85,0.766707,0.000267051,0.227407,0.00556362,5.4641e-05
9.172e-11,13370.5,5144.55,0.766707,0.000267053,0.227407,0.00556378,5.46434e-05
9.173e-11,13418.9,5018.62,0.766707,0.000267055,0.227407,0.00556394,5.46457e-05
9.174e-11,13466.7,4894.1,0.766707,0.000267057,0.227407,0.00556409,5.4648e-05
9.175e-11,13513.9,4771.01,0.766707,0.000267058,0.227407,0.00556423,5.46501e-05
9.176e-11,13560.4,4649.39,0.766707,0.00026706,0.227407,0.00556436,5.46522e-05
9.177e-11,13606.3,4529.25,0.766707,0.000267061,0.227406,0.00556448,5.46541e-05
9.178e-11,13651.5,4410.64,0.766707,0.000267062,0.227406,0.00556459,5.4656e-05
9.179e-11,13696,4293.58,0.766707,0.000267064,0.227406,0.00556469,5.46578e-05
9.18e-11,13739.8,4178.09,0.766707,0.000267065,0.227406,0.00556479,5.46596e-05
9.181e-11,13782.8,4064.2,0.766707,0.000267065,0.227406,0.00556488,5.46612e-05
9.182e-11,13825.2,3951.94,0.766707,0.000267066,0.227406,0.00556496,5.46628e-05
9.183e-11,13866.8,3841.33,0.766707,0.000267067,0.227406,0.00556504,5.46643e-05
9.184e-11,13907.6,3732.39,0.766707,0.000267068,0.227406,0.00556511,5.46657e-05
9.185e-11,13947.6,3625.16,0.766707,0.000267068,0.227406,0.00556517,5.4667e-05
9.186e-11,13986.9,3519.64,0.766707,0.000267069,0.227406,0.00556523,5.46682e-05
9.187e-11,14025.3,3415.86,0.766707,0.000267069,0.227406,0.00556528,5.46694e-05
9.188e-11,14063,3313.85,0.766707,0.00026707,0.227406,0.00556533,5.46705e-05
9.189e-11,14099.8,3213.61,0.766707,0.00026707,0.227405,0.00556537,5.46716e-05
9.19e-11,14135.8,3115.17,0.766707,0.000267071,0.227405,0.00556541,5.46726e-05
9.191e-11,14170.9,3018.55,0.766707,0.000267071,0.227405,0.00556544,5.46735e-05
9.192e-11,14205.1,2923.76,0.766707,0.000267071,0.227405,0.00556547,5.46744e-05
9.193e-11,14238.5,2830.81,0.766707,0.000267072,0.227405,0.0055655,5.46752e-05
9.194e-11,14271,2739.72,0.766707,0.000267072,0.227405,0.00556553,5.46759e-05
9.195e-11,14302.6,2650.51,0.766707,0.000267072,0.227405,0.00556555,5.46766e-05
9.196e-11,14333.3,2563.19,0.766707,0.000267072,0.227405,0.00556557,5.46772e-05
9.197e-11,14363.1,2477.77,0.766707,0.000267073,0.227405,0.00556558,5.46778e-05
9.198e-11,14391.9,2394.26,0.766707,0.000267073,0.227405,0.0055656,5.46783e-05
9.199e-11,14419.8,2312.68,0.766707,0.000267073,0.227405,0.00556561,5.46788e-05
9.2e-11,14446.7,2233.03,0.766707,0.000267073,0.227405,0.00556562,5.46793e-05
9.201e-11,14472.7,2155.33,0.766707,0.000267073,0.227405,0.00556563,5.46797e-05
9.202e-11,14497.7,2079.6,0.766707,0.000267073,0.227405,0.00556564,5.46801e-05
9.203e-11,14521.8,2005.84,0.766707,0.000267073,0.227405,0.00556564,5.46804e-05
9.204e-11,14544.8,1934.07,0.766707,0.000267074,0.227405,0.00556565,5.46807e-05
9.205e-11,14566.9,1864.31,0.766707,0.000267074,0.227405,0.00556565,5.4681e-05
9.206e-11,14588,1796.59,0.766707,0.000267074,0.227405,0.00556566,5.46813e-05
9.207e-11,14608,1730.92,0.766707,0.000267074,0.227405,0.00556566,5.46815e-05
9.208e-11,14627,1667.35,0.766707,0.000267074,0.227405,0.00556566,5.46817e-05
9.209e-11,14645.1,1605.91,0.766707,0.000267074,0.227405,0.00556567,5.46819e-05
9.21e-11,14662,1546.66,0.766707,0.000267074,0.227405,0.00556567,5.4682e-05
9.211e-11,14678,1489.65,0.766707,0.000267074,0.227405,0.00556567,5.46822e-05
9.212e-11,14692.9,1434.96,0.766707,0.000267074,0.227405,0.00556567,5.46823e-05
9.213e-11,14706.7,1382.7,0.766707,0.000267074,0.227405,0.00556567,5.46824e-05
9.214e-11,14719.5,1332.97,0.766707,0.000267074,0.227405,0.00556567,5.46825e-05
9.215e-11,14731.3,1285.93,0.766707,0.000267074,0.227405,0.00556567,5.46826e-05
9.216e-11,14741.9,1241.75,0.766707,0.000267074,0.227405,0.00556567,5.46827e-05
9.217e-11,14751.5,1200.65,0.766707,0.000267074,0.227405,0.00556567,5.46828e-05
9.218e-11,14760.1,1162.88,0.766707,0.000267074,0.227405,0.00556567,5.46828e-05
9.219e-11,14767.6,1128.75,0.766707,0.000267074,0.227405,0.00556567,5.46829e-05
9.22e-11,14774,1098.56,0.766707,0.000267074,0.227405,0.00556568,5.46829e-05
9.221e-11,14779.3,1072.7,0.766707,0.000267074,0.227405,0.00556568,5.4683e-05
9.222e-11,14783.5,1051.53,0.766707,0.000267074,0.227405,0.00556568,5.4683e-05
9.223e-11,14786.7,1035.4,0.766707,0.000267074,0.227405,0.00556568,5.46831e-05
9.224e-11,14788.7,1024.62,0.766707,0.000267074,0.227405,0.00556568,5.46831e-05
9.225e-11,14789.7,1019.41,0.766707,0.000267074,0.227405,0.00556568,5.46831e-05
9.226e-11,14789.6,1019.9,0.766707,0.000267074,0.227405,0.00556568,5.46832e-05
9.227e-11,14788.5,1026.08,0.766707,0.000267074,0.227405,0.00556568,5.46832e-05
9.228e-11,14786.2,1037.8,0.766707,0.000267074,0.227405,0.00556568,5.46833e-05
9.229e-11,14782.9,1054.82,0.766707,0.000267074,0.227405,0.00556568,5.46833e-05
9.23e-11,14778.4,1076.83,0.766707,0.000267074,0.227405,0.00556568,5.46834e-05
9.231e-11,14772.9,1103.47,0.766707,0.000267074,0.227405,0.00556568,5.46834e-05
9.232e-11,14766.3,1134.37,0.766707,0.000267074,0.227405,0.00556568,5.46835e-05
9.233e-11,14758.7,1169.17,0.766707,0.000267074,0.227405,0.00556568,5.46835e-05
9.234e-11,14750,1207.55,0.766707,0.000267074,0.227405,0.00556568,5.46836e-05
9.235e-11,14740.2,1249.22,0.766707,0.000267074,0.227405,0.00556568,5.46837e-05
9.236e-11,14729.3,1293.93,0.766707,0.000267074,0.227405,0.00556568,5.46838e-05
9.237e-11,14717.4,1341.48,0.766707,0.000267074,0.227405,0.00556568,5.46839e-05
9.238e-11,14704.4,1391.69,0.766707,0.000267074,0.227405,0.00556568,5.4684e-05
9.239e-11,14690.3,1444.42,0.766707,0.000267074,0.227405,0.00556568,5.46841e-05
9.24e-11,14675.2,1499.56,0.766707,0.000267074,0.227405,0.00556568,5.46843e-05
9.241e-11,14659.1,1557.02,0.766707,0.000267074,0.227405,0.00556569,5.46844e-05
9.242e-11,14641.9,1616.71,0.766707,0.000267074,0.227405,0.00556569,5.46846e-05
9.243e-11,14623.7,1678.59,0.766707,0.000267074,0.227405,0.00556569,5.46848e-05
9.244e-11,14604.5,1742.59,0.766707,0.000267074,0.227405,0.00556569,5.46851e-05
9.245e-11,14584.2,1808.69,0.766707,0.000267075,0.227405,0.0055657,5.46853e-05
9.246e-11,14563,1876.85,0.766707,0.000267075,0.227405,0.0055657,5.46856e-05
9.247e-11,14540.7,1947.05,0.766707,0.000267075,0.227405,0.00556571,5.46859e-05
9.248e-11,14517.4,2019.26,0.766707,0.000267075,0.227405,0.00556572,5.46863e-05
9.249e-11,14493.2,2093.47,0.766707,0.000267075,0.227405,0.00556572,5.46867e-05
9.25e-11,14468,2169.66,0.766707,0.000267075,0.227405,0.00556573,5.46871e-05
9.251e-11,14441.8,2247.82,0.766707,0.000267075,0.227405,0.00556574,5.46875e-05
9.252e-11,14414.6,2327.93,0.766707,0.000267075,0.227405,0.00556576,5.4688e-05
9.253e-11,14386.5,2409.98,0.766707,0.000267076,0.227405,0.00556577,5.46886e-05
9.254e-11,14357.4,2493.97,0.766707,0.000267076,0.227405,0.00556579,5.46892e-05
9.255e-11,14327.4,2579.87,0.766707,0.000267076,0.227405,0.00556581,5.46898e-05
9.256e-11,14296.5,2667.69,0.766707,0.000267076,0.227405,0.00556583,5.46905e-05
9.257e-11,14264.7,2757.4,0.766707,0.000267076,0.227405,0.00556586,5.46913e-05
9.258e-11,14232,2848.98,0.766707,0.000267077,0.227405,0.00556588,5.46921e-05
9.259e-11,14198.4,2942.44,0.766707,0.000267077,0.227405,0.00556592,5.4693e-05
9.26e-11,14163.9,3037.75,0.766707,0.000267077,0.227405,0.00556595,5.46939e-05
9.261e-11,14128.6,3134.9,0.766707,0.000267078,0.227405,0.00556599,5.46949e-05
9.262e-11,14092.3,3233.87,0.766707,0.000267078,0.227405,0.00556603,5.46959e-05
9.263e-11,14055.3,3334.65,0.766707,0.000267079,0.227405,0.00556608,5.46971e-05
9.264e-11,14017.4,3437.21,0.766707,0.000267079,0.227405,0.00556614,5.46983e-05
9.265e-11,13978.7,3541.54,0.766707,0.00026708,0.227405,0.0055662,5.46995e-05
9.266e-11,13939.2,3647.61,0.766707,0.00026708,0.227405,0.00556626,5.47009e-05
9.267e-11,13898.9,3755.41,0.766707,0.000267081,0.227405,0.00556633,5.47023e-05
9.268e-11,13857.9,3864.92,0.766707,0.000267082,0.227404,0.00556641,5.47038e-05
9.269e-11,13816,3976.1,0.766707,0.000267083,0.227404,0.00556649,5.47054e-05
9.27e-11,13773.5,4088.94,0.766707,0.000267084,0.227404,0.00556658,5.47071e-05
9.271e-11,13730.1,4203.42,0.766707,0.000267085,0.227404,0.00556668,5.47088e-05
9.272e-11,13686.1,4319.5,0.766707,0.000267086,0.227404,0.00556679,5.47106e-05
9.273e-11,13641.3,4437.16,0.766707,0.000267087,0.227404,0.0055669,5.47125e-05
9.274e-11,13595.9,4556.37,0.766707,0.000267088,0.227404,0.00556702,5.47145e-05
9.275e-11,13549.8,4677.11,0.766707,0.00026709,0.227404,0.00556715,5.47166e-05
9.276e-11,13503,4799.35,0.766707,0.000267092,0.227404,0.00556729,5.47188e-05
9.277e-11,13455.5,4923.05,0.766707,0.000267093,0.227403,0.00556744,5.4721e-05
9.278e-11,13407.5,5048.19,0.766707,0.000267095,0.227403,0.0055676,5.47234e-05
9.279e-11,13358.8,5174.74,0.766707,0.000267098,0.227403,0.00556777,5.47258e-05
9.28e-11,13309.5,5302.66,0.766707,0.0002671,0.227403,0.00556795,5.47284e-05
9.281e-11,13259.6,5431.93,0.766707,0.000267102,0.227403,0.00556814,5.4731e-05
9.282e-11,13209.1,5562.51,0.766707,0.000267105,0.227402,0.00556834,5.47337e-05
9.283e-11,13158.1,5694.37,0.766707,0.000267108,0.227402,0.00556855,5.47365e-05
9.284e-11,13106.5,5827.47,0.766707,0.000267112,0.227402,0.00556877,5.47394e-05
9.285e-11,13054.4,5961.79,0.766707,0.000267115,0.227402,0.00556901,5.47424e-05
9.286e-11,13001.8,6097.28,0.766707,0.000267119,0.227402,0.00556925,5.47455e-05
9.287e-11,12948.7,6233.92,0.766707,0.000267123,0.227401,0.00556951,5.47486e-05
9.288e-11,12895.1,6371.67,0.766707,0.000267128,0.227401,0.00556978,5.47519e-05
9.289e-11,12841,6510.49,0.766707,0.000267133,0.227401,0.00557006,5.47552e-05
9.29e-11,12786.5,6650.35,0.766707,0.000267138,0.2274,0.00557035,5.47587e-05
9.291e-11,12731.5,6791.22,0.766707,0.000267144,0.2274,0.00557065,5.47622e-05
9.292e-11,12676.2,6933.06,0.766707,0.00026715,0.2274,0.00557097,5.47658e-05
9.293e-11,12620.4,7075.82,0.766707,0.000267157,0.227399,0.0055713,5.47696e-05
9.294e-11,12564.2,7219.49,0.766707,0.000267164,0.227399,0.00557164,5.47734e-05
9.295e-11,12507.7,7364.02,0.766707,0.000267172,0.227399,0.005572,5.47773e-05
9.296e-11,12450.8,7509.37,0.766707,0.00026718,0.227398,0.00557237,5.47813e-05
9.297e-11,12393.5,7655.51,0.766707,0.000267189,0.227398,0.00557275,5.47853e-05
9.298e-11,12336,7802.4,0.766707,0.000267198,0.227398,0.00557314,5.47895e-05
9.299e-11,12278.1,7950.01,0.766707,0.000267208,0.227397,0.00557354,5.47937e-05
9.3e-11,12219.9,8098.3,0.766707,0.000267218,0.227397,0.00557396,5.47981e-05
9.301e-11,12161.4,8247.23,0.766707,0.000267229,0.227396,0.00557439,5.48025e-05
9.302e-11,12102.7,8396.78,0.766707,0.000267241,0.227396,0.00557484,5.4807e-05
9.303e-11,12043.8,8546.89,0.766707,0.000267254,0.227395,0.0055753,5.48116e-05
9.304e-11,11984.5,8697.53,0.766707,0.000267267,0.227395,0.00557576,5.48163e-05
9.305e-11,11925.1,8848.68,0.766707,0.000267281,0.227395,0.00557625,5.4821e-05
9.306e-11,11865.5,9000.29,0.766707,0.000267295,0.227394,0.00557674,5.48259e-05
9.307e-11,11805.7,9152.33,0.766707,0.00026731,0.227394,0.00557725,5.48308e-05
9.308e-11,11745.7,9304.76,0.766707,0.000267326,0.227393,0.00557777,5.48358e-05
9.309e-11,11685.5,9457.55,0.766707,0.000267343,0.227392,0.0055783,5.48409e-05
9.31e-11,11625.2,9610.66,0.766707,0.000267361,0.227392,0.00557884,5.4846e-05
9.311e-11,11564.8,9764.05,0.766707,0.000267379,0.227391,0.0055794,5.48513e-05
9.312e-11,11504.2,9917.7,0.766707,0.000267398,0.227391,0.00557997,5.48566e-05
9.313e-11,11443.6,10071.6,0.766707,0.000267419,0.22739,0.00558055,5.4862e-05
9.314e-11,11382.9,10225.6,0.766707,0.000267439,0.22739,0.00558114,5.48675e-05
9.315e-11,11322.1,10379.8,0.766707,0.000267461,0.227389,0.00558174,5.4873e-05
9.316e-11,11261.2,10534.1,0.766707,0.000267484,0.227388,0.00558235,5.48786e-05
9.317e-11,11200.3,10688.5,0.766707,0.000267507,0.227388,0.00558298,5.48843e-05
9.318e-11,11139.3,10842.9,0.766707,0.000267531,0.227387,0.00558361,5.48901e-05
9.319e-11,11078.4,10997.4,0.766707,0.000267557,0.227386,0.00558426,5.48959e-05
9.32e-11,11017.4,11151.8,0.766707,0.000267583,0.227386,0.00558492,5.49019e-05
9.321e-11,10956.4,11306.2,0.766707,0.00026761,0.227385,0.00558559,5.49078e-05
